,register_id,Name,Neighborhood ID,Neighborhood Name,District ID,District Name,Service Type,Latitude,Longitude
0,﻿92086000496,Facultat d'Informació i Mitjans Audiovisuals - UB,18.0,Sants,3.0,Sants-Montjuïc,Universitats,41.38128597939545,2.1387878130180185
1,﻿92086008555,Institut Fort Pius,5.0,el Fort Pienc,2.0,Eixample,Educació secundària,41.39435850748892,2.179807258323757
2,﻿75990047979,Escola Pia de Nostra Senyora,7.0,la Dreta de l'Eixample,2.0,Eixample,"Educació secundària, Formació professional",41.39121569175179,2.167915583579481
4,﻿92168166051,Institut Salvador Seguí,73.0,la Verneda i la Pau,10.0,Sant Martí,Formació professional,41.42309401778554,2.196790431984144
5,﻿92168166070,Escola de Música Kostka,30.0,la Salut,6.0,Gràcia,Música,41.41435733730391,2.157239969018296
6,﻿75990048204,Centre Educatiu Sagrat Cor-Diputació,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39529768849395,2.174294558270453
9,﻿92168166077,Centre Educatiu Sant Francesc d'Assís,10.0,Sant Antoni,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.38518119971263,2.163443882097396
11,﻿92168166146,Centre Educatiu Sant Josep,31.0,la Vila de Gràcia,6.0,Gràcia,"Ensenyament infantil (0-3 anys), Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40236658941899,2.155367068767063
15,﻿92168166170,Escola Molí de Finestrelles,60.0,Sant Andreu,9.0,Sant Andreu,"Ensenyament infantil (3-6 anys), Educació primària",41.43882358453997,2.1895586605815005
17,﻿92168164647,Escola Casas,65.0,el Clot,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.408477172101314,2.19280049740468
19,﻿92168166173,Institut Lluís Domènech i Montaner,13.0,la Marina de Port,3.0,Sants-Montjuïc,Educació secundària,41.35896198846323,2.133786171216864
20,﻿92168164659,Escola Catalònia,71.0,Provençals del Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41288273565778,2.201376087453191
22,﻿92168166196,Centre Educatiu Santa Teresa - Ganduxer,24.0,les Tres Torres,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.39996979813191,2.1335779353787503
25,﻿92168164771,Escola Collaso i Gil,1.0,el Raval,1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària",41.3762171951022,2.1689769862080865
27,﻿92168164884,Escola del Mar,35.0,el Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària",41.417860339923216,2.170154967138413
29,﻿92168164900,Escola Diputació,9.0,la Nova Esquerra de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.3815016061186,2.155974721321213
31,﻿93096151622,Escola Splai,45.0,Porta,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària",41.433402432343165,2.174357822967229
33,﻿92168165400,Escola Els Porxos,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41476038224248,2.1983198941026654
35,﻿92168165450,Centre Educatiu Asunción de Nuestra Señora,68.0,el Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40220115929684,2.2000060038823097
38,﻿92086033880,Escola Superior d'Empresarials i Relacions Públiques,7.0,la Dreta de l'Eixample,2.0,Eixample,"Formació professional, Universitats",41.39193366824314,2.175188257512289
40,﻿95172130413,Centre Educatiu Joan Roca Guipúzcoa,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.41410715754932,2.19371836762064
42,﻿75990022836,Escola Luthier de Música i Dansa,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,Música,41.389444050407896,2.162326984894252
43,﻿92168166372,Escola Poblenou,71.0,Provençals del Poblenou,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària",41.40991318696884,2.197328702708788
45,﻿92168166392,Escola Els Xiprers,22.0,"Vallvidrera, el Tibidabo i les Planes",5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària",41.41994340301173,2.1024614168090343
47,﻿93050110857,Escola Parc de la Ciutadella,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,"Ensenyament infantil (3-6 anys), Educació primària",41.386869080055405,2.1899728376135026
49,﻿92168166037,Centre Educatiu Padre Damián Sagrados Corazones,23.0,Sarrià,5.0,Sarrià-Sant Gervasi,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.40547609448432,2.116533753073015
52,﻿92168166076,Centre Educatiu San Francisco,72.0,Sant Martí de Provençals,10.0,Sant Martí,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.41681167843815,2.2006226443856365
55,﻿92168166093,Institut  Dolors Aleu,63.0,Navas,9.0,Sant Andreu,Educació secundària,41.418514640985066,2.186020355339397
56,﻿92168166150,Centre Educatiu Sant Lluís,52.0,la Prosperitat,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.44204442038263,2.182035973634189
59,﻿95257114025,Escola Tabor,6.0,la Sagrada Família,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.40729090540173,2.179320759601953
61,﻿75990056531,Escola ETP Xavier,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,"Educació secundària, Formació professional",41.385854760072434,2.1775328994208856
63,﻿75990014350,Escola de Música del Palau,4.0,"Sant Pere, Santa Caterina i la Ribera",1.0,Ciutat Vella,Música,41.38725279976831,2.1754722533379183
64,﻿99032142659,Institut Príncep de Viana,61.0,la Sagrera,9.0,Sant Andreu,Educació secundària,41.42792286266486,2.1871253300366518
65,﻿75990035832,Centre Educatiu Jesuïtes Casp - Sagrat Cor de Jesús,7.0,la Dreta de l'Eixample,2.0,Eixample,"Educació primària, Educació secundària",41.39003192106885,2.171390716405784
67,﻿96171173623,School of Architecture - UIC,25.0,Sant Gervasi - la Bonanova,5.0,Sarrià-Sant Gervasi,Universitats,41.406033260654574,2.123231960089889
68,﻿99400213316,Escola de Música Casp,7.0,la Dreta de l'Eixample,2.0,Eixample,Música,41.39091522231504,2.171644353423491
69,﻿99097164719,Institut Robòtica i Informàtica Industrial,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38284004736482,2.1160339544499878
70,﻿99400322970,Centre Educatiu Barcelona Vitae Les Corts,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Formació professional,41.37876060351543,2.115086703291677
71,﻿99082160443,Institut de Ciències de l'Educació de la Universitat Autònoma de Barcelona *Sant Pau,35.0,el Guinardó,7.0,Horta-Guinardó,Universitats,41.41379174747705,2.176910232352591
72,﻿99400316901,Escola per a Infants,35.0,el Guinardó,7.0,Horta-Guinardó,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.41508872749402,2.175807785588492
75,﻿99116122601,Edifici Sants,18.0,Sants,3.0,Sants-Montjuïc,Universitats,41.38128597939545,2.1387878130180185
76,﻿92086038096,Institut Catala Enginyeria Civil,21.0,Pedralbes,4.0,Les Corts,Universitats,41.386025808317086,2.1103811501410736
77,﻿99400280574,Escola Superior d'Estudis Musicals Taller de Músics,60.0,Sant Andreu,9.0,Sant Andreu,Música,41.43492914455279,2.1917282568652707
78,﻿99400291439,Universitat Nacional d'Educació a Distància *Barcelona,45.0,Porta,8.0,Nou Barris,Universitats,41.43646572009841,2.180455235272232
79,﻿95265112418,Escola Municipal de Música Eixample Joan Manuel Serrat,6.0,la Sagrada Família,2.0,Eixample,Música,41.40596224827076,2.170168320535942
80,﻿95265112700,Escola de Música Municipal Sant Andreu - Mestre Pich Santasusana,60.0,Sant Andreu,9.0,Sant Andreu,Música,41.43698157136573,2.1922004613303185
81,﻿99400319713,Escola per a Infants i Adolescents,8.0,l'Antiga Esquerra de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.38914826078086,2.151784715500113
84,﻿99400478358,Institut Escola Trinitat Nova,53.0,la Trinitat Nova,8.0,Nou Barris,"Ensenyament infantil (3-6 anys), Educació primària, Educació secundària",41.4487332776949,2.184583502268608
87,﻿99400478390,Escola 9 Graons,7.0,la Dreta de l'Eixample,2.0,Eixample,"Ensenyament infantil (3-6 anys), Educació primària",41.401554153546826,2.168895385331425
89,﻿99400505742,Fundació Institut de Recerca Biomèdica,20.0,la Maternitat i Sant Ramon,4.0,Les Corts,Universitats,41.38188173843909,2.116506436518207
