,Name,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude,Simple Service Type
0,Facultat d'Informació i Mitjans Audiovisuals - UB,Melcior de Palau,140.0,18,Sants,3,Sants-Montjuïc,8014,University,427989.3870489826,4581442.608604518,41.38128597939545,2.1387878130180185,University
1,Institut Fort Pius,C Ausiàs Marc,78.0,5,el Fort Pienc,2,Eixample,8013,Secondary School,431433.0122798908,4582860.628483669,41.39435850748892,2.179807258323757,High School
2,Escola Pia de Nostra Senyora,Carrer de la Diputació,277.0,7,la Dreta de l'Eixample,2,Eixample,8007,Secondary School & FP,430435.5250438276,4582521.196591505,41.39121569175179,2.167915583579481,High School
3,Institut Salvador Seguí,C Santander,7.0,73,la Verneda i la Pau,10,Sant Martí,8020,FP,432882.3765611512,4586037.508796598,41.42309401778554,2.196790431984144,FP
4,Escola de Música Kostka,Rier Can Toda,29.0,30,la Salut,6,Gràcia,8024,Music School,429568.0009359712,4585098.980271231,41.41435733730391,2.157239969018296,Music School
5,Centre Educatiu Sagrat Cor-Diputació,C Diputació,326.0,7,la Dreta de l'Eixample,2,Eixample,8009,"Kindergarten, Primary & Secondary School",430973.1477266591,4582969.27233023,41.39529768849395,2.174294558270453,General School (with kindergarten)
6,Centre Educatiu Sant Francesc d'Assís,Pl Universitat,2.0,10,Sant Antoni,2,Eixample,8007,Kindergarten & Primary School,430055.2078787113,4581854.856015,41.38518119971263,2.163443882097396,Kindergarten & Primary School
7,Centre Educatiu Sant Josep,C Montseny,31.0,31,la Vila de Gràcia,6,Gràcia,8012,"Kindergarten, Primary & Secondary School",429398.4948610284,4583769.305201496,41.40236658941899,2.155367068767063,General School (with kindergarten)
8,Escola Molí de Finestrelles,C Guardiola i Feliu,9.0,60,Sant Andreu,9,Sant Andreu,8030,Kindergarten & Primary School,432294.4179172824,4587789.423609436,41.43882358453997,2.1895586605815005,Kindergarten & Primary School
9,Escola Casas,C Sant Joan de Malta,44.0,65,el Clot,10,Sant Martí,8018,Kindergarten & Primary School,432533.8432695935,4584417.862516701,41.408477172101314,2.19280049740468,Kindergarten & Primary School
10,Institut Lluís Domènech i Montaner,C Alumini,48.0,13,la Marina de Port,3,Sants-Montjuïc,8038,Secondary School,427546.402888753,4578968.405666868,41.35896198846323,2.133786171216864,High School
11,Escola Catalònia,C Perú,195.0,71,Provençals del Poblenou,10,Sant Martí,8020,Kindergarten & Primary School,433255.111167792,4584900.318955642,41.41288273565778,2.201376087453191,Kindergarten & Primary School
12,Centre Educatiu Santa Teresa - Ganduxer,C Ganduxer,85.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8022,"Kindergarten, Primary & Secondary School",427574.4976352441,4583521.20323559,41.39996979813191,2.1335779353787503,General School (with kindergarten)
13,Escola Collaso i Gil,C Sant Pau,101.0,1,el Raval,1,Ciutat Vella,8001,Kindergarten & Primary School,430508.2946806711,4580855.235864935,41.3762171951022,2.1689769862080865,Kindergarten & Primary School
14,Escola del Mar,C Gènova,12.0,35,el Guinardó,7,Horta-Guinardó,8041,Kindergarten & Primary School,430651.08233966056,4585477.45780544,41.417860339923216,2.170154967138413,Kindergarten & Primary School
15,Escola Diputació,C Diputació,112.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,Kindergarten & Primary School,429426.72407269967,4581452.4088119855,41.3815016061186,2.155974721321213,Kindergarten & Primary School
16,Escola Splai,C Maladeta,75.0,45,Porta,8,Nou Barris,8016,Kindergarten & Primary School,431018.76441650186,4587199.5710980855,41.433402432343165,2.174357822967229,Kindergarten & Primary School
17,Escola Els Porxos,Pl Eduard Torroja,12.0,72,Sant Martí de Provençals,10,Sant Martí,8020,Kindergarten & Primary School,433001.6175878183,4585111.132850232,41.41476038224248,2.1983198941026654,Kindergarten & Primary School
18,Centre Educatiu Asunción de Nuestra Señora,Rbla Poblenou,94.0,68,el Poblenou,10,Sant Martí,8005,"Kindergarten, Primary & Secondary School",433129.6536216488,4583715.520484379,41.40220115929684,2.2000060038823097,General School (with kindergarten)
19,Escola Superior d'Empresarials i Relacions Públiques,Girona,24.0,7,la Dreta de l'Eixample,2,Eixample,8010,University,431044.3041118478,4582595.091995233,41.39193366824314,2.175188257512289,University
20,Centre Educatiu Joan Roca Guipúzcoa,Rbla Guipúscoa,19.0,72,Sant Martí de Provençals,10,Sant Martí,8018,Kindergarten & Primary School,432616.3783429007,4585042.182445924,41.41410715754932,2.19371836762064,Kindergarten & Primary School
21,Escola Luthier de Música i Dansa,C Balmes,53.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8007,Music School,429966.3976433531,4582329.013369794,41.389444050407896,2.162326984894252,Music School
22,Escola Poblenou,Carrer del Perú,139.0,71,Provençals del Poblenou,10,Sant Martí,8018,Kindergarten & Primary School,432913.7935478226,4584573.770072032,41.40991318696884,2.197328702708788,Kindergarten & Primary School
23,Escola Els Xiprers,Camí Salze,13.0,22,"Vallvidrera, el Tibidabo i les Planes",5,Sarrià-Sant Gervasi,8017,Kindergarten & Primary School,424996.3731843426,4585765.136794851,41.41994340301173,2.1024614168090343,Kindergarten & Primary School
24,Escola Parc de la Ciutadella,Pg Circumval.lació,5.0,4,"Sant Pere, Santa Caterina i la Ribera",1,Ciutat Vella,8003,Kindergarten & Primary School,432275.0752654949,4582021.1688439865,41.386869080055405,2.1899728376135026,Kindergarten & Primary School
25,Centre Educatiu Padre Damián Sagrados Corazones,Av Vallvidrera,10.0,23,Sarrià,5,Sarrià-Sant Gervasi,8017,"Kindergarten, Primary & Secondary School",426155.9692804455,4584146.89582665,41.40547609448432,2.116533753073015,General School (with kindergarten)
26,Centre Educatiu San Francisco,C Treball,213.0,72,Sant Martí de Provençals,10,Sant Martí,8020,"Kindergarten, Primary & Secondary School",433196.167653589,4585337.086685943,41.41681167843815,2.2006226443856365,General School (with kindergarten)
27,Institut  Dolors Aleu,Pl Ferran Reyes,2.0,63,Navas,9,Sant Andreu,8027,Secondary School,431977.6234462474,4585537.51448935,41.418514640985066,2.186020355339397,High School
28,Centre Educatiu Sant Lluís,C Aritjols,12.0,52,la Prosperitat,8,Nou Barris,8016,"Kindergarten, Primary & Secondary School",431669.3339090928,4588152.909943287,41.44204442038263,2.182035973634189,General School (with kindergarten)
29,Escola Tabor,C Cartagena,231.0,6,la Sagrada Família,2,Eixample,8013,Kindergarten & Primary School,431405.9422502555,4584296.751470833,41.40729090540173,2.179320759601953,Kindergarten & Primary School
