,Name,Street ID,Road Name,Street Number,Neighborhood ID,Neighborhood Name,District ID,District Name,ZipCode,Service Type,geo_epgs_25831_x,geo_epgs_25831_y,Latitude,Longitude
0,Centre d'Atenció Primària Sardenya,76807,C Sardenya,466.0,33,el Baix Guinardó,7,Horta-Guinardó,8025.0,CAP (Primary Healthcare Center),430258.03834851866,4584549.527771263,41.40946879799104,2.165559158653853
1,Instituto Oftalmológico Tres Torres,28000,Via Augusta,281.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Hospital & Clinic,427267.424673312,4583268.912630522,41.39766980618416,2.1299351525099426
2,Clínica Mi Tres Torres,103502,C Doctor Roux,76.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Hospital & Clinic,427179.3374911064,4583445.134892676,41.39924899210352,2.1288603299902027
3,Centre d'Atenció Primària Montnegre,219100,C Montnegre,21.0,19,les Corts,4,Les Corts,8029.0,CAP (Primary Healthcare Center),427992.3718695025,4582145.613744661,41.38761794394156,2.1387399569666004
4,Hospital de Barcelona,144601,Av Diagonal,660.0,19,les Corts,4,Les Corts,8034.0,Hospital & Clinic,427228.5182380354,4582405.700043358,41.3898916934532,2.129573511198016
5,Hospital Universitari Quirón Dexeus,285002,C Sabino Arana,5.0,20,la Maternitat i Sant Ramon,4,Les Corts,8028.0,Hospital & Clinic,426932.16922927607,4581894.955963134,41.3852647692118,2.126090851000616
6,Centre d'Atenció Primària Ciutat Meridiana,300503,C Sant Feliu de Codines,2.0,54,Torre Baró,8,Nou Barris,8033.0,CAP (Primary Healthcare Center),431637.8098009769,4590192.817074642,41.46041438468622,2.1814277070234023
7,Clínica Corachan,51500,C Buïgas,19.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Hospital & Clinic,427330.7261577906,4582807.840141923,41.39352284333145,2.130747645161546
8,Clinica del Son Estivill,288601,C Rosales,9.0,24,les Tres Torres,5,Sarrià-Sant Gervasi,8017.0,Hospital & Clinic,427155.1056682553,4583714.455260656,41.4016724490232,2.128538075607512
9,Cliníca Axisclínic *Comte d'Urgell,349706,C Comte d'Urgell,168.0,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8036.0,Hospital & Clinic,429152.144616148,4582051.211910848,41.38687068385529,2.1526211977409395
10,Centre d'Urgències d'Atenció Primària Horta,301801,C Sant Gaudenci,21.0,43,Horta,7,Horta-Guinardó,8031.0,CAP (Primary Healthcare Center),429606.0090914466,4587372.858118908,41.43484056890944,2.157429990506305
11,Centre d'Atenció Primària  Vila de Gràcia-Cibeles,90502,C Còrsega,363.0,31,la Vila de Gràcia,6,Gràcia,8037.0,CAP (Primary Healthcare Center),429948.5726026792,4583356.655340697,41.39869811526309,2.1619949302029338
12,Centre d'Urgències d'Atenció Primària,260158,C Plató,21.0,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8006.0,CAP (Primary Healthcare Center),428315.7564032176,4583661.522024942,41.4013000208271,2.1424279977430216
13,Centre d'Urgències d'Atenció Primària,361406,C Viladomat,288.0,9,la Nova Esquerra de l'Eixample,2,Eixample,8029.0,CAP (Primary Healthcare Center),428554.2723810804,4582271.07063971,41.38879799075201,2.1454451514293984
14,Institut Oftalmologia Gabriel Simón,212508,C Minerva,7.0,31,la Vila de Gràcia,6,Gràcia,8006.0,Hospital & Clinic,429483.1061765301,4583112.922621457,41.39646221745103,2.156455652254697
15,Centre de Dia Serveis Geriàtrics de Barcelona *Av Meridiana,209900,Av Meridiana,328.0,61,la Sagrera,9,Sant Andreu,8027.0,Day center for the elderly,432077.120324793,4586307.359005979,41.4254567920414,2.187124388138771
16,Centre d'Atenció Primària Turó,54000,C Cadí,58.0,46,el Turó de la Peira,8,Nou Barris,8031.0,CAP (Primary Healthcare Center),430702.6954907335,4587167.057350281,41.43308238349045,2.1705788750932693
17,Centre d'Atenció Primaria,45701,Av Quinze,18.0,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8016.0,CAP (Primary Healthcare Center),431161.9091881149,4586412.633795086,41.42632706053321,2.1761605774773924
18,Centre d'Atenció Primària Passeig Sant Joan,305100,Pg Sant Joan,20.0,5,el Fort Pienc,2,Eixample,8010.0,CAP (Primary Healthcare Center),431360.6550209632,4582674.87628119,41.39267932164972,2.178962864832544
19,Centre d'Atenció Primària Sants,700952,Ptge Vapor Vell,6.0,18,Sants,3,Sants-Montjuïc,8028.0,CAP (Primary Healthcare Center),427673.7102252916,4580943.919404631,41.37676616209959,2.1350723954187125
