,Neighborhood Name,District Name Associated,Number of Services,Distances,Density over Places Ratio,Avg. Students per Teacher Ratio,School Status,Centers Type,Centers Simple Type,Centers Characteristics,Population with Low Studies (%),Total Number of Students,Primary School in people older than 15 (%),Secondary School in people older than 15 (%),Middle Studies in people older than 15 (%),Higher Studies in people older than 15 (%),No education or Incomplete Primary School in people older than 15 (%),Young Population without Post-Compulsory Education (%),Abscence Rate in 4th Grade (%),Graduation Rate in 4th Grade (%),Territorial Socioeconomic Index (IST),Avg. Gini Index (%),Population Density (hab/ha),Net Population Density (hab/residential ha),Number of Places,Number of Students,Number of Teachers
1,el Raval,Ciutat Vella,45,,1.005,25.858,"public, charter","Kindergarten & Primary School, University, Kindergarten, Primary & Secondary School, Secondary School, Kindergarten, Primary, Secondary School & FP, Music School, FP, Secondary School & FP, Languages School, Adult Training, Informatics Training, Kindergarten, Library & Study Room","Kindergarten & Primary School, University, General School (with kindergarten), High School, Music School, FP, Languages School, Adult Training, Informatics Training, Kindergarten, Library & Study Room",religious and non-religious,15.8,39258,23.4,26.1,20.4,27.5,1.1,30.4,0.7,87.3,78.2,34.495,429,952,427.0,9128.0,353.0
2,el Barri Gòtic,Ciutat Vella,13,,1.686,21.32,"public, charter","FP, Kindergarten & Primary School, University, Kindergarten, Primary & Secondary School, Languages School, Kindergarten, Library & Study Room","FP, Kindergarten & Primary School, University, General School (with kindergarten), Languages School, Kindergarten, Library & Study Room",non-religious,18.0,21775,20.7,25.8,21.5,30.5,0.8,34.6,0.7,87.3,75.6,39.133,268,639,159.0,1066.0,50.0
3,la Barceloneta,Ciutat Vella,23,,0.697,10.571,public,"Secondary School, University, Kindergarten & Primary School, FP, Adult Training, Kindergarten, Library & Study Room","High School, University, Kindergarten & Primary School, FP, Adult Training, Kindergarten, Library & Study Room",non-religious,14.2,13148,17.8,24.2,23.0,32.2,1.9,17.2,0.7,87.3,95.8,33.636,124,1081,178.0,1554.0,147.0
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,35,,0.711,22.947,"public, charter","Kindergarten & Primary School, Secondary School & FP, Music School, University, Kindergarten, Primary & Secondary School, Secondary School, FP, Adult Training, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, High School, Music School, University, General School (with kindergarten), FP, Adult Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,9.9,19845,13.4,17.8,22.6,44.1,1.0,13.6,0.7,87.3,100.8,37.031,199,683,280.0,4360.0,190.0
5,el Fort Pienc,Eixample,19,,1.116,21.341,"private, public, charter","Secondary School, Kindergarten & Primary School, Kindergarten, Primary & Secondary School, FP, Music School, Languages School, Kindergarten, Library & Study Room","High School, Kindergarten & Primary School, General School (with kindergarten), FP, Music School, Languages School, Kindergarten, Library & Study Room",non-religious,8.9,30067,10.6,18.8,26.3,42.1,0.9,11.2,0.2,92.9,111.0,32.475,336,930,301.0,2817.0,132.0
6,la Sagrada Família,Eixample,24,,3.547,45.774,"private, public, charter","Kindergarten & Primary School, Music School, FP, Kindergarten, Primary & Secondary School, Informatics Training, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, Music School, FP, General School (with kindergarten), Informatics Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,9.9,46258,11.1,18.9,26.3,41.5,1.0,10.3,0.2,92.9,111.8,32.7,493,1007,139.0,2838.0,62.0
7,la Dreta de l'Eixample,Eixample,75,,0.25,69.438,"public, charter","Secondary School & FP, Kindergarten, Primary & Secondary School, University, Primary & Secondary School, Music School, Kindergarten & Primary School, Library & Study Room, FP, Kindergarten, Primary, Secondary School & FP, Languages School, Informatics Training, Kindergarten","High School, General School (with kindergarten), University, General School, Music School, Kindergarten & Primary School, Library & Study Room, FP, Languages School, Informatics Training, Kindergarten",religious and non-religious,6.2,38970,6.5,12.3,23.9,55.4,0.5,7.6,0.2,92.9,120.9,36.697,211,392,844.0,11735.0,169.0
8,l'Antiga Esquerra de l'Eixample,Eixample,45,,1.0,30.913,"public, charter","Music School, Kindergarten, Primary & Secondary School, University, Kindergarten & Primary School, FP, Secondary School, Informatics Training, Languages School, Kindergarten, Library & Study Room","Music School, General School (with kindergarten), University, Kindergarten & Primary School, FP, High School, Informatics Training, Languages School, Kindergarten, Library & Study Room",religious and non-religious,6.6,38028,7.0,14.1,25.3,51.6,0.6,7.9,0.2,92.9,117.9,36.188,342,627,342.0,4637.0,150.0
9,la Nova Esquerra de l'Eixample,Eixample,53,,0.687,44.173,"private, public, charter","Kindergarten & Primary School, University, Music School, Secondary School, Secondary School & FP, FP, Kindergarten, Primary & Secondary School, Informatics Training, Adult Training, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, University, Music School, High School, FP, General School (with kindergarten), Informatics Training, Adult Training, Languages School, Kindergarten, Library & Study Room",non-religious,7.7,51289,9.1,16.5,25.8,46.7,0.8,8.3,0.2,92.9,116.7,32.978,426,876,620.0,12015.0,272.0
10,Sant Antoni,Eixample,26,,2.849,46.897,"private, public, charter","Kindergarten & Primary School, FP, University, Kindergarten, Primary & Secondary School, Secondary School & FP, Music School, Primary School, Languages School, Informatics Training, Adult Training, Kindergarten, Library & Study Room","Kindergarten & Primary School, FP, University, General School (with kindergarten), High School, Music School, Primary School, Languages School, Informatics Training, Adult Training, Kindergarten, Library & Study Room",religious and non-religious,10.3,34264,11.9,19.4,25.1,41.3,1.2,12.7,0.2,92.9,110.6,33.767,473,921,166.0,3189.0,68.0
11,el Poble-sec,Sants-Montjuïc,24,,0.192,87.809,"public, charter","Kindergarten & Primary School, University, Secondary School, Kindergarten, Primary & Secondary School, FP, Secondary School & FP, Languages School, Kindergarten, Library & Study Room","Kindergarten & Primary School, University, High School, General School (with kindergarten), FP, Languages School, Kindergarten, Library & Study Room",religious and non-religious,13.5,34224,18.5,23.7,23.7,31.2,1.4,21.4,1.0,85.0,95.7,33.354,86,1033,447.0,22479.0,256.0
