Neighborhood ID,Neighborhood Name,Number of Services,Distances,Centers Type,Avg. Population Age,Avg. Population Life Expectancy,Population Deaths Rate,Population Premature Deaths (<70) Rate,Population Children Deaths Rate,Notifiable Diseases Rate,People with 4 or more Chronic Disorders (%),People with Overweight or Obesity (%),Low Weight Births (%),People at risk of Poor Mental Health (%),Habitual Smokers (%),Problematic Drug Use Index (ICPD),Territorial Socioeconomic Index (IST),Avg. Gini Index (%),Population Density (hab/ha),Net Population Density (hab/residential ha)
1,el Raval,37,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",37.868,81.6,652.4,3410.7,0.0,911.826,23.8,40.1,8.6,31.6,18.0,2.33,78.2,34.495,429,952
2,el Barri Gòtic,21,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",37.769,82.5,500.9,1753.3,0.0,730.975,23.8,40.1,6.5,31.6,18.0,1.71,75.6,39.133,268,639
3,la Barceloneta,13,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",42.427,80.5,1168.5,3854.3,0.0,505.972,23.8,40.1,7.1,31.6,18.0,3.01,95.8,33.636,124,1081
4,"Sant Pere, Santa Caterina i la Ribera",26,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",40.082,83.5,604.4,1617.0,0.0,619.939,23.8,40.3,5.9,31.6,18.0,1.28,100.8,37.031,199,683
5,el Fort Pienc,28,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.307,84.7,867.3,2049.6,0.0,388.895,22.9,40.3,7.4,24.6,18.1,-0.98,111.0,32.475,336,930
6,la Sagrada Família,37,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",44.562,85.0,966.2,2872.6,0.0,360.43,22.9,40.3,6.7,24.6,18.1,-0.71,111.8,32.7,493,1007
7,la Dreta de l'Eixample,133,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.213,84.1,1087.4,2696.5,3.1,462.524,22.9,40.3,6.0,24.6,18.1,-0.84,120.9,36.697,211,392
8,l'Antiga Esquerra de l'Eixample,53,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",43.694,84.8,979.2,2631.9,0.0,824.542,22.9,40.3,2.7,24.6,18.1,-0.95,117.9,36.188,342,627
9,la Nova Esquerra de l'Eixample,45,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",44.879,85.8,958.1,2446.8,0.0,552.202,22.9,40.3,7.6,24.6,18.1,-0.75,116.7,32.978,426,876
10,Sant Antoni,34,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",44.424,86.3,949.2,2239.7,3.9,748.978,22.9,48.3,6.0,24.6,18.1,-0.76,110.6,33.767,473,921
11,el Poble-sec,20,,Pharmacy,41.899,83.4,843.0,3524.5,0.0,484.854,28.4,48.3,8.7,26.3,17.3,0.53,95.7,33.354,86,1033
12,la Marina del Prat Vermell,3,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Residence for the elderly",40.039,79.8,1576.4,10458.2,0.0,935.172,28.4,48.3,7.6,26.3,17.3,14.39,73.7,29.2,1,38
13,la Marina de Port,21,,"Pharmacy, Day center for the elderly, Residence for the elderly",44.102,84.4,873.6,3284.2,5.4,240.307,28.4,48.3,7.0,26.3,17.3,-0.1,95.3,28.435,242,789
14,la Font de la Guatlla,7,,Pharmacy,44.648,83.3,934.0,926.7,0.0,395.623,28.4,48.3,6.2,26.3,17.3,-0.34,107.2,31.243,339,873
15,Hostafrancs,9,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.005,84.6,764.3,3541.7,17.4,489.202,28.4,48.3,6.1,26.3,17.3,-0.27,104.1,32.8,386,717
16,la Bordeta,14,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",44.588,85.7,1108.6,3721.1,0.0,273.201,28.4,48.3,6.6,26.3,17.3,-0.77,106.9,28.6,337,928
17,Sants - Badal,16,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",44.743,85.5,796.3,3323.4,0.0,281.603,28.4,48.3,5.8,26.3,17.3,-0.91,102.4,31.6,593,980
18,Sants,37,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",43.095,85.8,862.0,1980.2,0.0,338.381,28.4,41.5,7.2,26.3,17.3,-0.62,104.8,31.738,394,726
19,les Corts,44,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly",46.024,85.8,979.0,2182.7,0.0,174.697,19.3,41.5,6.3,21.2,15.2,-1.02,121.7,32.72,322,702
20,la Maternitat i Sant Ramon,24,,"Pharmacy, Day center for the elderly, Residence for the elderly",45.885,86.7,964.3,2408.3,0.0,171.362,19.3,41.5,6.4,21.2,15.2,-1.16,118.0,31.213,123,741
21,Pedralbes,11,,"CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",43.349,87.7,940.6,2347.9,0.0,177.552,19.3,37.6,9.0,21.2,15.2,-1.06,129.6,40.129,43,142
22,"Vallvidrera, el Tibidabo i les Planes",7,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",40.867,80.9,560.3,2406.9,0.0,122.352,19.2,37.6,4.4,27.0,15.8,-0.84,119.4,36.3,4,19
23,Sarrià,34,,"Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",42.475,85.0,833.4,1265.5,0.0,133.41,19.2,37.6,6.9,27.0,15.8,-1.05,129.4,38.306,80,256
24,les Tres Torres,25,,"Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",42.397,86.2,849.6,1930.7,0.0,91.738,19.2,37.6,8.1,27.0,15.8,-0.3,135.9,39.7,206,382
25,Sant Gervasi - la Bonanova,34,,"CAP (Primary Healthcare Center), Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",42.681,84.9,958.3,2329.9,0.0,107.974,19.2,37.6,6.4,27.0,15.8,-1.0,129.5,38.072,115,313
26,Sant Gervasi - Galvany,58,,"Hospital & Clinic, Pharmacy, Day center for the elderly, Residence for the elderly",43.291,86.3,955.6,2462.6,0.0,140.67,19.2,37.6,7.1,27.0,15.8,-1.06,131.3,39.055,280,491
27,el Putxet i el Farró,32,,"Hospital & Clinic, CAP (Primary Healthcare Center), Pharmacy, Day center for the elderly, Residence for the elderly",42.79,86.2,914.8,2755.0,0.0,153.359,19.2,40.6,8.3,27.0,15.8,-0.63,125.1,34.537,349,558
28,Vallcarca i els Penitents,23,,Pharmacy,44.12,85.8,1003.5,4735.7,0.0,181.484,22.2,40.6,5.5,24.0,18.2,-0.08,118.6,33.745,129,335
