,Accessibility,Offer Quality,Population Education,Index,Neighborhood Name
1,595,833,454,627,el Raval
2,162,500,514,392,el Barri Gòtic
3,297,333,485,372,la Barceloneta
4,459,778,559,599,"Sant Pere, Santa Caterina i la Ribera"
5,243,694,609,516,el Fort Pienc
6,311,861,615,596,la Sagrada Família
7,1000,806,654,820,la Dreta de l'Eixample
8,595,750,644,663,l'Antiga Esquerra de l'Eixample
9,703,806,618,709,la Nova Esquerra de l'Eixample
10,338,972,593,634,Sant Antoni
11,311,722,494,509,el Poble-sec
12,54,528,332,305,la Marina del Prat Vermell
13,230,611,398,413,la Marina de Port
14,108,583,492,394,la Font de la Guatlla
15,68,639,553,420,Hostafrancs
16,95,639,505,413,la Bordeta
17,95,667,524,429,Sants - Badal
18,459,750,517,576,Sants
19,527,722,609,619,les Corts
20,919,722,550,731,la Maternitat i Sant Ramon
21,743,833,629,735,Pedralbes
22,95,611,561,422,"Vallvidrera, el Tibidabo i les Planes"
23,459,778,622,620,Sarrià
24,68,472,691,410,les Tres Torres
25,662,917,622,734,Sant Gervasi - la Bonanova
26,500,750,653,634,Sant Gervasi - Galvany
27,230,722,659,537,el Putxet i el Farró
28,203,472,591,422,Vallcarca i els Penitents
29,0,361,723,361,el Coll
30,108,639,614,454,la Salut
31,527,833,632,664,la Vila de Gràcia
32,149,611,655,472,el Camp d'en Grassot i Gràcia Nova
33,230,833,553,539,el Baix Guinardó
34,14,722,610,449,Can Baró
35,297,667,551,505,el Guinardó
36,189,778,532,500,la Font d'en Fargues
37,162,694,444,434,el Carmel
38,0,500,744,415,la Teixonera
39,41,250,470,254,Sant Genís dels Agudells
40,230,306,472,336,Montbau
41,81,639,505,408,la Vall d'Hebron
42,0,500,503,334,la Clota
43,149,611,499,420,Horta
44,230,694,417,447,Vilapicina i la Torre Llobeta
45,203,556,380,379,Porta
46,54,583,404,347,el Turó de la Peira
47,14,333,286,211,Can Peguera
48,203,500,364,356,la Guineueta
49,68,250,327,215,Canyelles
50,68,250,340,219,les Roquetes
51,122,333,328,261,Verdun
52,149,667,355,390,la Prosperitat
53,41,417,321,259,la Trinitat Nova
54,54,417,260,244,Torre Baró
55,68,583,286,312,Ciutat Meridiana
56,0,167,282,150,Vallbona
57,95,639,355,363,la Trinitat Vella
58,27,583,323,311,Baró de Viver
59,95,667,411,391,el Bon Pastor
60,486,694,500,560,Sant Andreu
61,243,722,501,489,la Sagrera
62,149,583,506,413,el Congrés i els Indians
63,68,389,580,345,Navas
64,216,694,564,492,el Camp de l'Arpa del Clot
65,176,528,532,412,el Clot
66,189,472,554,405,el Parc i la Llacuna del Poblenou
67,297,333,636,422,la Vila Olímpica del Poblenou
68,419,778,548,581,el Poblenou
69,81,472,593,382,Diagonal Mar i el Front Marítim del Poblenou
70,162,694,400,419,el Besòs i el Maresme
71,216,472,492,394,Provençals del Poblenou
72,243,694,449,462,Sant Martí de Provençals
73,189,667,418,425,la Verneda i la Pau
