Any,Indicador,Nom_Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,Tipus_Us,Tipus_Equipament,Ambit,Latitud,Longitud
2022,Assistents_Activitats,"Biblioteca Barceloneta - La Fraternitat",335,,,01,"Ciutat Vella",03,"la Barceloneta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.379201005,2.188854072
2022,Assistents_Activitats,"Biblioteca Francesca Bonnemaison",2191,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.386936575,2.175789976
2022,Assistents_Activitats,"Biblioteca Gòtic - Andreu Nin",1352,,,01,"Ciutat Vella",02,"el Barri Gòtic","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378730324,2.175978504
2022,Assistents_Activitats,"Biblioteca Sant Pau - Santa Creu",645,,,01,"Ciutat Vella",01,"el Raval","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.381057326,2.169793857
2022,Assistents_Activitats,"Biblioteca Esquerra de l'Eixample - Agustí Centelles",4283,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.3864488,2.1527896
2022,Assistents_Activitats,"Biblioteca Fort Pienc",822,,,02,Eixample,05,"el Fort Pienc","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.395555185,2.182447586
2022,Assistents_Activitats,"Biblioteca Joan Miró",692,,,02,Eixample,09,"la Nova Esquerra de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.378816801,2.149230361
2022,Assistents_Activitats,"Biblioteca Sagrada Família - J. M. Ainaud de Lasarte",931,,,02,Eixample,06,"la Sagrada Família","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.4055771,2.176118
2022,Assistents_Activitats,"Biblioteca Sant Antoni - Joan Oliver",950,,,02,Eixample,10,"Sant Antoni","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377384776,2.162778079
2022,Assistents_Activitats,"Biblioteca Sofia Barat",718,,,02,Eixample,07,"la Dreta de l'Eixample","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.394674294,2.171504480
2022,Assistents_Activitats,"Biblioteca Jaume Fuster",2703,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.407459888,2.149757498
2022,Assistents_Activitats,"Biblioteca Vallcarca i els Penitents - M. Antonieta Cot",965,,,06,Gràcia,28,"Vallcarca i els Penitents","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.420008234,2.139657303
2022,Assistents_Activitats,"Biblioteca Vila de Gràcia",2027,,,06,Gràcia,31,"la Vila de Gràcia","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.401467067,2.158213802
2022,Assistents_Activitats,"Biblioteca El Carmel - Juan Marsé",2268,,,07,Horta-Guinardó,37,"el Carmel","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.421104560,2.155286623
2022,Assistents_Activitats,"Biblioteca Guinardó - Mercè Rodoreda",1691,,,07,Horta-Guinardó,33,"el Baix Guinardó","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.414313258,2.165318095
2022,Assistents_Activitats,"Biblioteca Horta - Can Mariner",2013,,,07,Horta-Guinardó,43,Horta,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.431105502,2.160733590
2022,Assistents_Activitats,"Biblioteca Montbau - Albert Pérez Baró",1017,,,07,Horta-Guinardó,40,Montbau,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.429553532,2.142195427
2022,Assistents_Activitats,"Biblioteca Les Corts - Miquel Llongueras",963,,,04,"Les Corts",20,"la Maternitat i Sant Ramon","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.377777960,2.121760828
2022,Assistents_Activitats,"Biblioteca Montserrat Abelló",2090,,"Biblioteca inaugurada el 26 de gener de 2018.",04,"Les Corts",19,"les Corts","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.383722,2.1352722
2022,Assistents_Activitats,"Biblioteca Canyelles",1047,,,08,"Nou Barris",49,Canyelles,"Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.443773486,2.164322669
2022,Assistents_Activitats,"Biblioteca Les Roquetes - Rafa Juncadella",1714,,,08,"Nou Barris",50,"les Roquetes","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.445371792,2.177103706
2022,Assistents_Activitats,"Biblioteca Nou Barris",1740,,,08,"Nou Barris",48,"la Guineueta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.436813681,2.171212448
2022,Assistents_Activitats,"Biblioteca Vilapicina i la Torre Llobeta",1362,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.426885098,2.176452383
2022,Assistents_Activitats,"Biblioteca Zona Nord",2356,,,08,"Nou Barris",54,"Torre Baró","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.461237425,2.179875786
2022,Assistents_Activitats,"Biblioteca Bon Pastor",5681,,,09,"Sant Andreu",59,"el Bon Pastor","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.435164144,2.204659876
2022,Assistents_Activitats,"Biblioteca Ignasi Iglésias - Can Fabra",9320,,,09,"Sant Andreu",60,"Sant Andreu","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.434481450,2.190871493
2022,Assistents_Activitats,"Biblioteca La Sagrera - Marina Clotet",2639,,,09,"Sant Andreu",61,"la Sagrera","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.425875519,2.193764263
2022,Assistents_Activitats,"Biblioteca Trinitat Vella - José Barbero",1083,,,09,"Sant Andreu",57,"la Trinitat Vella","Ajuntament de Barcelona","Biblioteques de Barcelona","Biblioteques de Barcelona",Lletres,41.449283144,2.190748711
