Curs,Codi centre,Denominació completa,Codi municipi_5,Codi municipi_6,Nom municipi,Dones,Homes,Total
2023/2024,08064751,ESCOLA MAR I CEL,08074,080749,CUBELLES,16,4,20
2023/2024,43013087,INSTITUT ESCOLA CORBATERA,43049,430496,CORNUDELLA DE MONTSANT,21,3,24
2023/2024,43013075,INSTITUT ESCOLA ÀNGEL DE TOBIES,43163,431634,EL VENDRELL,40,24,64
2023/2024,43012988,INSTITUT DE MIAMI,43092,430923,MONT-ROIG DEL CAMP,23,10,33
2023/2024,43012976,INSTITUT ESCOLA MEDITERRANI,43148,431482,TARRAGONA,22,12,34
2023/2024,43012903,ESCOLA EL BOSC - ZER EL FRANCOLÍ,43091,430918,MONT-RAL,1,2,3
2023/2024,43012812,INSTITUT ESCOLA L'AGULLA,43043,430430,EL CATLLAR,40,10,50
2023/2024,43012769,CEE FONT DEL LLEÓ,43123,431233,REUS,18,2,20
2023/2024,43012319,INSTITUT ESCOLA EL PERELLÓ,43104,431042,EL PERELLÓ,43,12,55
2023/2024,43012307,INSTITUT ESCOLA DANIEL MANGRANÉ,43155,431554,TORTOSA,44,14,58
2023/2024,43012289,INSTITUT ESCOLA 3 D'ABRIL,43094,430944,MÓRA LA NOVA,39,11,50
2023/2024,43012113,INSTITUT ESCOLA MARE DE DÉU DEL PORTAL,43022,430228,BATEA,28,5,33
2023/2024,43012095,ESCOLA JOAN MIRÓ,43092,430923,MONT-ROIG DEL CAMP,30,6,36
2023/2024,43012083,INSTITUT ESCOLA PI DEL BURGAR,43123,431233,REUS,45,13,58
2023/2024,43011492,ESCOLA LA CANALETA,43171,431711,VILA-SECA,31,8,39
2023/2024,43011479,INSTITUT TARRAGONA,43148,431482,TARRAGONA,49,14,63
2023/2024,43011418,INSTITUT RODA DE BERÀ,43131,431310,RODA DE BERÀ,24,16,40
2023/2024,43011303,ZER MONTSANT,43035,430350,CABACÉS,0,4,4
2023/2024,43011212,ESCOLA LA BÒBILA,43038,430385,CAMBRILS,27,5,32
2023/2024,43011200,EOI DE SALOU,43905,439057,SALOU,4,1,5
2023/2024,43011194,ESCOLA EL CUCURULL,43131,431310,RODA DE BERÀ,13,5,18
2023/2024,43011170,INSTITUT CRISTÒFOL DESPUIG,43155,431554,TORTOSA,30,18,48
2023/2024,43011145,ESCOLA ELS GANXETS,43123,431233,REUS,13,4,17
