Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NACIONALITAT_G
2022,1,Ciutat Vella,1,el Raval,1,1001,7,1
2022,1,Ciutat Vella,1,el Raval,1,1001,..,3
2022,1,Ciutat Vella,1,el Raval,1,1002,15,1
2022,1,Ciutat Vella,1,el Raval,1,1002,..,3
2022,1,Ciutat Vella,1,el Raval,2,1003,18,1
2022,1,Ciutat Vella,1,el Raval,2,1003,..,3
2022,1,Ciutat Vella,1,el Raval,2,1004,17,1
2022,1,Ciutat Vella,1,el Raval,2,1004,..,3
2022,1,Ciutat Vella,1,el Raval,3,1005,20,1
2022,1,Ciutat Vella,1,el Raval,3,1006,15,1
2022,1,Ciutat Vella,1,el Raval,3,1006,..,3
2022,1,Ciutat Vella,1,el Raval,3,1007,5,1
2022,1,Ciutat Vella,1,el Raval,3,1007,..,3
2022,1,Ciutat Vella,1,el Raval,4,1008,19,1
2022,1,Ciutat Vella,1,el Raval,4,1008,..,2
2022,1,Ciutat Vella,1,el Raval,4,1008,..,3
2022,1,Ciutat Vella,1,el Raval,4,1009,8,1
2022,1,Ciutat Vella,1,el Raval,4,1009,..,3
2022,1,Ciutat Vella,1,el Raval,4,1010,14,1
2022,1,Ciutat Vella,1,el Raval,4,1010,..,3
2022,1,Ciutat Vella,1,el Raval,5,1011,15,1
2022,1,Ciutat Vella,1,el Raval,5,1011,..,2
2022,1,Ciutat Vella,1,el Raval,5,1012,16,1
2022,1,Ciutat Vella,1,el Raval,5,1013,14,1
2022,1,Ciutat Vella,1,el Raval,5,1013,..,2
2022,1,Ciutat Vella,1,el Raval,6,1014,11,1
2022,1,Ciutat Vella,1,el Raval,6,1014,..,2
2022,1,Ciutat Vella,1,el Raval,6,1015,11,1
2022,1,Ciutat Vella,1,el Raval,6,1016,8,1
2022,1,Ciutat Vella,1,el Raval,6,1016,..,3
2022,1,Ciutat Vella,1,el Raval,6,1017,7,1
2022,1,Ciutat Vella,1,el Raval,6,1017,..,3
2022,1,Ciutat Vella,1,el Raval,7,1018,12,1
2022,1,Ciutat Vella,1,el Raval,7,1018,..,2
2022,1,Ciutat Vella,1,el Raval,7,1019,11,1
2022,1,Ciutat Vella,1,el Raval,7,1019,..,2
2022,1,Ciutat Vella,1,el Raval,7,1019,..,3
2022,1,Ciutat Vella,1,el Raval,7,1020,16,1
2022,1,Ciutat Vella,1,el Raval,7,1020,..,3
2022,1,Ciutat Vella,1,el Raval,8,1021,11,1
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1022,13,1
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,2
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1022,..,3
2022,1,Ciutat Vella,2,el Barri Gòtic,9,1023,19,1
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1025,14,1
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1026,22,1
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1026,..,2
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1026,5,3
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1027,8,1
2022,1,Ciutat Vella,2,el Barri Gòtic,10,1027,..,3
2022,1,Ciutat Vella,2,el Barri Gòtic,11,1028,13,1
2022,1,Ciutat Vella,2,el Barri Gòtic,11,1029,9,1
2022,1,Ciutat Vella,2,el Barri Gòtic,12,1030,30,1
2022,1,Ciutat Vella,2,el Barri Gòtic,12,1031,6,1
2022,1,Ciutat Vella,3,la Barceloneta,13,1032,13,1
2022,1,Ciutat Vella,3,la Barceloneta,13,1033,..,1
2022,1,Ciutat Vella,3,la Barceloneta,13,1034,6,1
2022,1,Ciutat Vella,3,la Barceloneta,14,1035,11,1
2022,1,Ciutat Vella,3,la Barceloneta,14,1035,..,2
2022,1,Ciutat Vella,3,la Barceloneta,14,1035,..,3
2022,1,Ciutat Vella,3,la Barceloneta,14,1036,12,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1037,20,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1037,..,3
2022,1,Ciutat Vella,3,la Barceloneta,15,1038,8,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1039,13,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1039,..,3
2022,1,Ciutat Vella,3,la Barceloneta,15,1040,5,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1041,8,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1042,31,1
2022,1,Ciutat Vella,3,la Barceloneta,15,1042,..,3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,10,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,7,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,10,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,..,2
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,8,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,8,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,17,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,..,2
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,..,3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,12,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,..,3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,10,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,11,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,12,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,..,3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,14,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,..,2
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,..,3
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,7,1
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,11,1
2022,2,Eixample,5,el Fort Pienc,20,2001,14,1
2022,2,Eixample,5,el Fort Pienc,20,2002,21,1
2022,2,Eixample,5,el Fort Pienc,20,2002,7,3
2022,2,Eixample,5,el Fort Pienc,20,2003,37,1
