"Barri","Nº de morts","Taxa Mort."
"1. EL RAVAL","0","0"
"2. EL BARRI GÒTIC","0","0"
"3. LA BARCELONETA","0","0"
"4. ST PERE, STA CATERINA, I LA RIBERA","0","0"
"5. EL FORT PIENC","0","0"
"6. LA SAGRADA FAMILIA","0","0"
"7. LA DRETA DEL EIXAMPLE","1","3.1"
"8. L'ANTIGA ESQUERRA DE L'EIXAMPLE","0","0"
"9. LA NOVA ESQUERRA DE L'EIXAMPLE","0","0"
"10. SANT ANTONI","1","3.9"
"11. EL POBLE SEC","0","0"
"12. LA MARINA DEL PRAT VERMELL","0","0"
"13. LA MARINA DEL PORT","1","5.4"
"14. LA FONT DE LA GUATLLA","0","0"
"15. HOSTAFRANCS","2","17.4"
"16. LA BORDETA","0","0"
"17. SANTS-BADAL","0","0"
"18. SANTS","0","0"
"19. LES CORTS","0","0"
"20. LA MATERNITAT I SANT RAMON","0","0"
"21. PEDRALBES","0","0"
"22. VALLVIDRERA, EL TIBIDABO I LES PLANES","0","0"
"23. SARRIÀ","0","0"
"24. LES TRES TORRES","0","0"
"25. SANT GERVASI-LA BONANOVA","0","0"
"26. SANT GERVASI-GALVANY","0","0"
"27. EL PUTXET I EL FARRO","0","0"
"28. VALLCARCA I ELS PENITENTS","0","0"
"29. EL COLL","0","0"
"30. LA SALUT","0","0"
"31. LA VILA DE GRÀCIA","0","0"
"32. EL CAMP D'EN GRASSOT I GRÀCIA NOVA","0","0"
"33. EL BAIX GUINARDÓ","0","0"
"34. CAN BARÓ","0","0"
"35. EL GUINARDÓ","0","0"
"36. LA FONT D'EN FARGUES","0","0"
"37. EL CARMEL","0","0"
"38. LA TEIXONERA","0","0"
"39. SANT GENIS DELS AGUDELLS","0","0"
"40. MONTBAU","0","0"
"41. LA VALL D'HEBRON","0","0"
"42. LA CLOTA","0","0"
"43. HORTA","0","0"
"44. VILAPICINA I TORRE LLOBETA","0","0"
"45. PORTA","1","6.6"
"46. EL TURÓ DE LA PEIRA","0","0"
"47. CAN PEGUERA","0","0"
"48. LA GUINEUETA","0","0"
"49. CANYELLES","0","0"
"50. LES ROQUETES","0","0"
"51. VERDUM","0","0"
"52. LA PROSPERITAT","1","6.4"
"53. LA TRINITAT NOVA","0","0"
"54. TORRE BARÓ","0","0"
"55. CIUTAT MERIDIANA","0","0"
"56. VALLBONA","0","0"
"57. LA TRINITAT VELLA","0","0"
"58. BARÓ DE VIVER","0","0"
"59. EL BON PASTOR","0","0"
"60. SANT ANDREU","0","0"
"61. LA SAGRERA","0","0"
"62. EL CONGRÉS I ELS INDIANS","0","0"
"63. NAVAS","0","0"
"64. EL CAMP DE L'ARPA DEL CLOT","0","0"
"65. EL CLOT","0","0"
"66. EL PARC I LA LLACUNA DEL POBLE NOU","0","0"
"67. LA VILA OLIMPICA DEL POBLE NOU","0","0"
"68. EL POBLE NOU","1","4"
"69. DIAGONAL MAR I EL FRONT MARITIM DEL POBLE NOU","0","0"
"70. EL BESÒS I EL MARESME","1","5.3"
"71. PROVENÇALS DEL POBLE NOU","0","0"
"72. SANT MARTÍ DE PROVENÇALS","0","0"
"73. LA VERNEDA I LA PAU","1","6.3"
"TOTAL","14","1.2"
