"Barri","Nº de morts (<70)","Taxa APVP Crua"
"1. EL RAVAL","78","3410.7"
"2. EL BARRI GÒTIC","25","1753.3"
"3. LA BARCELONETA","35","3854.3"
"4. ST PERE, STA CATERINA, I LA RIBERA","23","1617"
"5. EL FORT PIENC","37","2049.6"
"6. LA SAGRADA FAMILIA","73","2872.6"
"7. LA DRETA DEL EIXAMPLE","61","2696.5"
"8. L'ANTIGA ESQUERRA DE L'EIXAMPLE","64","2631.9"
"9. LA NOVA ESQUERRA DE L'EIXAMPLE","80","2446.8"
"10. SANT ANTONI","46","2239.7"
"11. EL POBLE SEC","73","3524.5"
"12. LA MARINA DEL PRAT VERMELL","5","10458.2"
"13. LA MARINA DEL PORT","61","3284.2"
"14. LA FONT DE LA GUATLLA","3","926.7"
"15. HOSTAFRANCS","17","3541.7"
"16. LA BORDETA","35","3721.1"
"17. SANTS-BADAL","45","3323.4"
"18. SANTS","49","1980.2"
"19. LES CORTS","56","2182.7"
"20. LA MATERNITAT I SANT RAMON","31","2408.3"
"21. PEDRALBES","13","2347.9"
"22. VALLVIDRERA, EL TIBIDABO I LES PLANES","4","2406.9"
"23. SARRIÀ","14","1265.5"
"24. LES TRES TORRES","17","1930.7"
"25. SANT GERVASI-LA BONANOVA","33","2329.9"
"26. SANT GERVASI-GALVANY","59","2462.6"
"27. EL PUTXET I EL FARRO","38","2755"
"28. VALLCARCA I ELS PENITENTS","39","4735.7"
"29. EL COLL","8","3299.3"
"30. LA SALUT","23","2967.2"
"31. LA VILA DE GRÀCIA","63","1901.2"
"32. EL CAMP D'EN GRASSOT I GRÀCIA NOVA","55","2800.5"
"33. EL BAIX GUINARDÓ","41","2645.7"
"34. CAN BARÓ","13","2477.3"
"35. EL GUINARDÓ","52","2286.3"
"36. LA FONT D'EN FARGUES","16","3313.9"
"37. EL CARMEL","40","2360.1"
"38. LA TEIXONERA","11","2894.7"
"39. SANT GENIS DELS AGUDELLS","6","2431.3"
"40. MONTBAU","11","7000"
"41. LA VALL D'HEBRON","13","4837.3"
"42. LA CLOTA","0","0"
"43. HORTA","31","2283.7"
"44. VILAPICINA I TORRE LLOBETA","44","3084.8"
"45. PORTA","34","2431.6"
"46. EL TURÓ DE LA PEIRA","26","3177.8"
"47. CAN PEGUERA","5","6765.5"
"48. LA GUINEUETA","19","2618.6"
"49. CANYELLES","18","5371"
"50. LES ROQUETES","21","4370.7"
"51. VERDUM","23","3376.6"
"52. LA PROSPERITAT","41","3039.1"
"53. LA TRINITAT NOVA","28","8113.5"
"54. TORRE BARÓ","2","2147.2"
"55. CIUTAT MERIDIANA","18","3208.8"
"56. VALLBONA","2","4666.7"
"57. LA TRINITAT VELLA","13","3034.6"
"58. BARÓ DE VIVER","4","4703.2"
"59. EL BON PASTOR","19","4411.8"
"60. SANT ANDREU","93","2675.8"
"61. LA SAGRERA","41","2239.7"
"62. EL CONGRÉS I ELS INDIANS","21","3324.9"
"63. NAVAS","38","3056.7"
"64. EL CAMP DE L'ARPA DEL CLOT","48","2255.1"
"65. EL CLOT","37","2601.6"
"66. EL PARC I LA LLACUNA DEL POBLE NOU","23","2336.9"
"67. LA VILA OLIMPICA DEL POBLE NOU","9","3135"
"68. EL POBLE NOU","51","2944.4"
"69. DIAGONAL MAR I EL FRONT MARITIM DEL POBLE NOU","15","2265.2"
"70. EL BESÒS I EL MARESME","46","3643.2"
"71. PROVENÇALS DEL POBLE NOU","25","3608.7"
"72. SANT MARTÍ DE PROVENÇALS","42","2619.6"
"73. LA VERNEDA I LA PAU","48","3349.9"
"TOTAL","2563","2634.7"
